Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2010,2011,2015
BRB,Barbados,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.9
BRB,Barbados,24720,Country rank and value in the ITU ICT Development Index,Rank,,,39
BRN,Brunei Darussalam,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,4.5
BRN,Brunei Darussalam,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.3
BRN,Brunei Darussalam,24720,Country rank and value in the ITU ICT Development Index,Rank,,,74
BTN,Bhutan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,56.4
BTN,Bhutan,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.1
BTN,Bhutan,24720,Country rank and value in the ITU ICT Development Index,Rank,,,122
BWA,Botswana,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,67.3
BWA,Botswana,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.8
BWA,Botswana,24720,Country rank and value in the ITU ICT Development Index,Rank,,,109
CAN,Canada,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,56.3
CAN,Canada,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.6
CAN,Canada,24720,Country rank and value in the ITU ICT Development Index,Rank,,,23
CHE,Switzerland,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,97.6
CHE,Switzerland,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.5
CHE,Switzerland,24720,Country rank and value in the ITU ICT Development Index,Rank,,,5
CHL,Chile,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,57.6
CHL,Chile,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.1
CHL,Chile,24720,Country rank and value in the ITU ICT Development Index,Rank,,,57
CHN,China,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,56
CHN,China,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.8
CHN,China,24720,Country rank and value in the ITU ICT Development Index,Rank,,,84
CIV,Cote d'Ivoire,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,40.4
CIV,Cote d'Ivoire,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.4
CIV,Cote d'Ivoire,24720,Country rank and value in the ITU ICT Development Index,Rank,,,139
CMR,Cameroon,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,4.3
CMR,Cameroon,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.1
CMR,Cameroon,24720,Country rank and value in the ITU ICT Development Index,Rank,,,146
COD,"Congo, Dem. Rep.",24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,8.5
COD,"Congo, Dem. Rep.",24719,Country rank and value in the ITU ICT Development Index,Value,,,1.5
COD,"Congo, Dem. Rep.",24720,Country rank and value in the ITU ICT Development Index,Rank,,,169
COL,Colombia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,41
COL,Colombia,24719,Country rank and value in the ITU ICT Development Index,Value,,,5
COL,Colombia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,81
CPV,Cabo Verde,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,72.9
CPV,Cabo Verde,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.2
CPV,Cabo Verde,24720,Country rank and value in the ITU ICT Development Index,Rank,,,99
CRI,Costa Rica,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,95.5
CRI,Costa Rica,24719,Country rank and value in the ITU ICT Development Index,Value,,,6
CRI,Costa Rica,24720,Country rank and value in the ITU ICT Development Index,Rank,,,59
CUB,Cuba,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,0
CUB,Cuba,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.6
CUB,Cuba,24720,Country rank and value in the ITU ICT Development Index,Rank,,,133
CUW,Curacao,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,45.6
CYP,Cyprus,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,54.8
CYP,Cyprus,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.3
CYP,Cyprus,24720,Country rank and value in the ITU ICT Development Index,Rank,,,53
CZE,Czech Republic,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,68.8
CZE,Czech Republic,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.2
CZE,Czech Republic,24720,Country rank and value in the ITU ICT Development Index,Rank,,,31
DEU,Germany,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,75.1
DEU,Germany,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.1
DEU,Germany,24720,Country rank and value in the ITU ICT Development Index,Rank,,,13
DJI,Djibouti,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,5.6
DJI,Djibouti,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.7
DJI,Djibouti,24720,Country rank and value in the ITU ICT Development Index,Rank,,,160
DMA,Dominica,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,42.2
DMA,Dominica,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.1
DMA,Dominica,24720,Country rank and value in the ITU ICT Development Index,Rank,,,77
DNK,Denmark,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,116.8
DNK,Denmark,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.8
DNK,Denmark,24720,Country rank and value in the ITU ICT Development Index,Rank,,,2
DOM,Dominican Republic,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,39.6
DOM,Dominican Republic,24719,Country rank and value in the ITU ICT Development Index,Value,,,4
DOM,Dominican Republic,24720,Country rank and value in the ITU ICT Development Index,Rank,,,104
DZA,Algeria,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,40.1
DZA,Algeria,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.7
