Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2010,2011,2015
MKD,"Macedonia, FYR",24720,Country rank and value in the ITU ICT Development Index,Rank,,,62
MLI,Mali,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,18.8
MLI,Mali,24719,Country rank and value in the ITU ICT Development Index,Value,,,2
MLI,Mali,24720,Country rank and value in the ITU ICT Development Index,Rank,,,149
MLT,Malta,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,63.2
MLT,Malta,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.5
MLT,Malta,24720,Country rank and value in the ITU ICT Development Index,Rank,,,25
MMR,Myanmar,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,29.5
MMR,Myanmar,24719,Country rank and value in the ITU ICT Development Index,Value,,,2
MMR,Myanmar,24720,Country rank and value in the ITU ICT Development Index,Rank,,,153
MNE,Montenegro,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,43.7
MNE,Montenegro,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.8
MNE,Montenegro,24720,Country rank and value in the ITU ICT Development Index,Rank,,,64
MNG,Mongolia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,76
MNG,Mongolia,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.5
MNG,Mongolia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,93
MOZ,Mozambique,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,9.4
MOZ,Mozambique,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.6
MOZ,Mozambique,24720,Country rank and value in the ITU ICT Development Index,Rank,,,164
MRT,Mauritania,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,23.1
MRT,Mauritania,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.9
MRT,Mauritania,24720,Country rank and value in the ITU ICT Development Index,Rank,,,154
MUS,Mauritius,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,37
MUS,Mauritius,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.3
MUS,Mauritius,24720,Country rank and value in the ITU ICT Development Index,Rank,,,73
MWI,Malawi,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,16.6
MWI,Malawi,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.5
MWI,Malawi,24720,Country rank and value in the ITU ICT Development Index,Rank,,,168
MYS,Malaysia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,89.9
MYS,Malaysia,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.6
MYS,Malaysia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,66
NAM,Namibia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,62.1
NAM,Namibia,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.2
NAM,Namibia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,121
NER,Niger,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,1.8
NER,Niger,24719,Country rank and value in the ITU ICT Development Index,Value,,,1
NER,Niger,24720,Country rank and value in the ITU ICT Development Index,Rank,,,174
NGA,Nigeria,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,21
NGA,Nigeria,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.5
NGA,Nigeria,24720,Country rank and value in the ITU ICT Development Index,Rank,,,137
NIC,Nicaragua,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,7.2
NIC,Nicaragua,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.7
NIC,Nicaragua,24720,Country rank and value in the ITU ICT Development Index,Rank,,,130
NLD,Netherlands,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,70.5
NLD,Netherlands,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.4
NLD,Netherlands,24720,Country rank and value in the ITU ICT Development Index,Rank,,,8
NOR,Norway,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,92.8
NOR,Norway,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.4
NOR,Norway,24720,Country rank and value in the ITU ICT Development Index,Rank,,,9
NPL,Nepal,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,21.1
NPL,Nepal,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.3
NPL,Nepal,24720,Country rank and value in the ITU ICT Development Index,Rank,,,142
NZL,New Zealand,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,114.2
NZL,New Zealand,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.1
NZL,New Zealand,24720,Country rank and value in the ITU ICT Development Index,Rank,,,16
OMN,Oman,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,78.3
OMN,Oman,24719,Country rank and value in the ITU ICT Development Index,Value,,,6
OMN,Oman,24720,Country rank and value in the ITU ICT Development Index,Rank,,,58
PAK,Pakistan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,13
PAK,Pakistan,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.2
PAK,Pakistan,24720,Country rank and value in the ITU ICT Development Index,Rank,,,145
PAN,Panama,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,32.7
PAN,Panama,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.6
PAN,Panama,24720,Country rank and value in the ITU ICT Development Index,Rank,,,91
PER,Peru,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,36.7
PER,Peru,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.2
PER,Peru,24720,Country rank and value in the ITU ICT Development Index,Rank,,,100
PHL,Philippines,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,41.6
PHL,Philippines,24719,Country rank and value in the ITU ICT Development Index,Value,,,4
PHL,Philippines,24720,Country rank and value in the ITU ICT Development Index,Rank,,,106
PNG,Papua New Guinea,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,6.1
POL,Poland,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,60.2
POL,Poland,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.6
POL,Poland,24720,Country rank and value in the ITU ICT Development Index,Rank,,,47
PRI,Puerto Rico,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,48.7
PRT,Portugal,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,52
PRT,Portugal,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.6
PRT,Portugal,24720,Country rank and value in the ITU ICT Development Index,Rank,,,45
PRY,Paraguay,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,39.2
PRY,Paraguay,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.9
PRY,Paraguay,24720,Country rank and value in the ITU ICT Development Index,Rank,,,107
PYF,French Polynesia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,26.1
QAT,Qatar,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,80
QAT,Qatar,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.8
QAT,Qatar,24720,Country rank and value in the ITU ICT Development Index,Rank,,,43
ROU,Romania,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,63.5
ROU,Romania,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.9
ROU,Romania,24720,Country rank and value in the ITU ICT Development Index,Rank,,,60
RUS,Russian Federation,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,71.3
RUS,Russian Federation,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.8
RUS,Russian Federation,24720,Country rank and value in the ITU ICT Development Index,Rank,,,42
RWA,Rwanda,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,25.9
RWA,Rwanda,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.8
RWA,Rwanda,24720,Country rank and value in the ITU ICT Development Index,Rank,,,158
SAU,Saudi Arabia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,111.7
SAU,Saudi Arabia,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.9
SAU,Saudi Arabia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,38
SDN,Sudan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,29.4
SDN,Sudan,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.6
SDN,Sudan,24720,Country rank and value in the ITU ICT Development Index,Rank,,,134
SEN,Senegal,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,26.4
SEN,Senegal,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.4
SEN,Senegal,24720,Country rank and value in the ITU ICT Development Index,Rank,,,140
SGP,Singapore,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,142.2
SGP,Singapore,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.9
SGP,Singapore,24720,Country rank and value in the ITU ICT Development Index,Rank,,,19
SLB,Solomon Islands,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,11.4
SLB,Solomon Islands,24719,Country rank and value in the ITU ICT Development Index,Value,,,2
SLB,Solomon Islands,24720,Country rank and value in the ITU ICT Development Index,Rank,,,150
SLE,Sierra Leone,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,15.2
SLV,El Salvador,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,19.9
SLV,El Salvador,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.6
SLV,El Salvador,24720,Country rank and value in the ITU ICT Development Index,Rank,,,113
SMR,San Marino,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,108.9
SRB,Serbia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,71.8
SRB,Serbia,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.4
SRB,Serbia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,51
SSD,South Sudan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,1.4
SSD,South Sudan,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.4
SSD,South Sudan,24720,Country rank and value in the ITU ICT Development Index,Rank,,,170
SUR,Suriname,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,75.8
SUR,Suriname,24719,Country rank and value in the ITU ICT Development Index,Value,,,"4,89"
SUR,Suriname,24720,Country rank and value in the ITU ICT Development Index,Rank,,,83
SVK,Slovak Republic,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,67.5
SVK,Slovak Republic,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.7
SVK,Slovak Republic,24720,Country rank and value in the ITU ICT Development Index,Rank,,,44
SVN,Slovenia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,52
SVN,Slovenia,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.1
SVN,Slovenia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,32
SWE,Sweden,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,122.1
SWE,Sweden,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.5
SWE,Sweden,24720,Country rank and value in the ITU ICT Development Index,Rank,,,6
SWZ,Swaziland,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,17
SWZ,Swaziland,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.5
SWZ,Swaziland,24720,Country rank and value in the ITU ICT Development Index,Rank,,,136
SYC,Seychelles,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,19.1
SYC,Seychelles,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.8
SYC,Seychelles,24720,Country rank and value in the ITU ICT Development Index,Rank,,,85
SYR,Syrian Arab Republic,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,10.4
SYR,Syrian Arab Republic,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.2
SYR,Syrian Arab Republic,24720,Country rank and value in the ITU ICT Development Index,Rank,,,120
TCD,Chad,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,1.4
TCD,Chad,24719,Country rank and value in the ITU ICT Development Index,Value,,,1
TCD,Chad,24720,Country rank and value in the ITU ICT Development Index,Rank,,,175
TGO,Togo,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,6
TGO,Togo,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.8
TGO,Togo,24720,Country rank and value in the ITU ICT Development Index,Rank,,,159
THA,Thailand,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,75.3
THA,Thailand,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.1
THA,Thailand,24720,Country rank and value in the ITU ICT Development Index,Rank,,,79
TJK,Tajikistan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,12.1
TLS,Timor-Leste,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,37.5
TLS,Timor-Leste,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.9
TLS,Timor-Leste,24720,Country rank and value in the ITU ICT Development Index,Rank,,,125
TON,Tonga,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,29.5
TON,Tonga,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.6
TON,Tonga,24720,Country rank and value in the ITU ICT Development Index,Rank,,,114
TTO,Trinidad and Tobago,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,32.2
TTO,Trinidad and Tobago,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.5
TTO,Trinidad and Tobago,24720,Country rank and value in the ITU ICT Development Index,Rank,,,68
TUN,Tunisia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,62.6
TUN,Tunisia,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.5
TUN,Tunisia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,95
TUR,Turkey,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,50.9
TUR,Turkey,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.5
TUR,Turkey,24720,Country rank and value in the ITU ICT Development Index,Rank,,,69
TZA,Tanzania,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,3.2
TZA,Tanzania,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.5
TZA,Tanzania,24720,Country rank and value in the ITU ICT Development Index,Rank,,,167
UGA,Uganda,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,18.3
UGA,Uganda,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.9
UGA,Uganda,24720,Country rank and value in the ITU ICT Development Index,Rank,,,155
UKR,Ukraine,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,8.1
UKR,Ukraine,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.2
UKR,Ukraine,24720,Country rank and value in the ITU ICT Development Index,Rank,,,76
URY,Uruguay,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,77.7
URY,Uruguay,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.4
URY,Uruguay,24720,Country rank and value in the ITU ICT Development Index,Rank,,,49
USA,United States,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,109.2
USA,United States,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.1
USA,United States,24720,Country rank and value in the ITU ICT Development Index,Rank,,,15
UZB,Uzbekistan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,28.7
UZB,Uzbekistan,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.8
UZB,Uzbekistan,24720,Country rank and value in the ITU ICT Development Index,Rank,,,110
VCT,St. Vincent and the Grenadines,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,39
VCT,St. Vincent and the Grenadines,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.1
VCT,St. Vincent and the Grenadines,24720,Country rank and value in the ITU ICT Development Index,Rank,,,78
VEN,"Venezuela, RB",24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,43
VEN,"Venezuela, RB",24704,"Mobile-cellular monthly subscription charge, in USD",USD,0,,
VEN,"Venezuela, RB",24719,Country rank and value in the ITU ICT Development Index,Value,,,5.2
VEN,"Venezuela, RB",24720,Country rank and value in the ITU ICT Development Index,Rank,,,75
VGB,British Virgin Islands,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,76.4
VNM,Vietnam,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,39
VNM,Vietnam,24719,Country rank and value in the ITU ICT Development Index,Value,,,4
VNM,Vietnam,24720,Country rank and value in the ITU ICT Development Index,Rank,,,104
VUT,Vanuatu,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,41.3
VUT,Vanuatu,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.7
VUT,Vanuatu,24720,Country rank and value in the ITU ICT Development Index,Rank,,,131
WSM,Samoa,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,9.6
WSM,Samoa,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.8
WSM,Samoa,24720,Country rank and value in the ITU ICT Development Index,Rank,,,128
YEM,"Yemen, Rep.",24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,5.9
YEM,"Yemen, Rep.",24719,Country rank and value in the ITU ICT Development Index,Value,,,2
YEM,"Yemen, Rep.",24720,Country rank and value in the ITU ICT Development Index,Rank,,,151
ZAF,South Africa,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,59.5
ZAF,South Africa,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.7
ZAF,South Africa,24720,Country rank and value in the ITU ICT Development Index,Rank,,,86
ZMB,Zambia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,13.8
ZMB,Zambia,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.1
ZMB,Zambia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,148
ZWE,Zimbabwe,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,39
ZWE,Zimbabwe,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.7
ZWE,Zimbabwe,24720,Country rank and value in the ITU ICT Development Index,Rank,,,132
